COUNTYFP,COUNTYNS,GEOID,COUNTYNM,POP,T7_est3,T7_est29,T7_est134,T7_est160,T8_est4,T8_est17,T8_est70,T8_est83,ELIG,ELIG_NB,ELIG_B,HCV,HCV_CAP,HCV_HH,HCVCAP1000,HCVHH1000,ELIG_UN,ELIG_UN_P,ELIG_B_P,ELIG_BUN,ELIG_B_UNP,PB8,PH,HCV_8_PH,ELIGBUNT,ELIGBUNT_P,VOTES_ALL,VOTES_HC,VOTES_DT,VOTES_GJ,VOTES_JS,VOTES_DC,PCT_HC,PCT_DT,PCT_OTH,MVICT,HCV_P,HCV_X,ELIGBUNTX,ELIGBUNTXP,CONGRESS,RURURB,BRD_T,HH_T,BRD_RENT_P,BRD_T_P
1,1213656,42001,Adams,101496,1195,2170,1305,1790,75,595,130,460,6460,1260,5200,454,0.004473083,0.011886995,4.473082683,11.886995,6006,0.929721362,0.80495356,4746,0.912692308,123,0,577,4623,0.889038462,47138,14077,31249,1222,399,191,0.298633799,0.662925877,0.038440324,0.364292078,0.006214156,24,4599,0.884423077,4,R,14857,38193,0.575025991,0.388997984
3,1213657,42003,Allegheny,1226933,21645,33265,52995,33670,3010,15920,10720,10535,141575,40185,101390,10889,0.008874975,0.020563363,8.874975243,20.56336326,130686,0.923086703,0.716157514,90501,0.892602821,11909,7935,30733,70657,0.696883322,643173,363017,257488,15854,5021,1793,0.564415795,0.400340188,0.035244017,-0.164075607,0.149043923,568,70089,0.691281191,"12,14,18",U,188365,529534,0.500934339,0.355718424
5,1213658,42005,Armstrong,68614,1190,2200,1515,1430,205,1080,275,645,6335,2205,4130,209,0.003046026,0.007327163,3.046025592,7.327163091,6126,0.967008682,0.651933702,3921,0.949394673,243,539,991,3139,0.760048426,30446,6849,22676,661,136,124,0.224955659,0.744794062,0.030250279,0.519838403,0.002860702,11,3128,0.757384988,3,R,9013,28524,0.476592155,0.315979526
7,1214112,42007,Beaver,170382,3690,5885,5680,4135,540,3075,1030,1815,19390,6460,12930,574,0.0033689,0.008190756,3.368900471,8.190756147,18816,0.970397112,0.666838577,12356,0.955607115,1197,1842,3613,9317,0.720572312,79036,30225,46081,1914,477,339,0.382420669,0.583038109,0.034541222,0.20061744,0.007856664,30,9287,0.718252127,12,U,23493,70079,0.519767749,0.335235948
9,1209171,42009,Bedford,49490,1055,1735,895,915,135,1000,270,350,4600,1755,2845,265,0.005354617,0.01325,5.354617094,13.25,4335,0.942391304,0.618478261,2580,0.90685413,131,23,419,2426,0.852724077,23504,3613,19455,259,100,77,0.153718516,0.82773145,0.018550034,0.674012934,0.003627205,14,2412,0.847803163,9,R,6902,20000,0.585012285,0.3451
11,1209172,42011,Berks,412078,5045,8175,10705,7960,365,1970,1365,1690,31885,5390,26495,1045,0.002535928,0.006816166,2.535927664,6.816165727,30840,0.967225968,0.830954995,25450,0.960558596,1111,1818,3974,22521,0.850009436,175934,75169,93094,5016,1906,749,0.427256812,0.52914161,0.043601578,0.101884798,0.014303508,54,22467,0.847971315,"6,7,15,16",U,66043,153312,0.573974796,0.430775151
13,1213659,42013,Blair,126940,1715,3265,3335,3090,210,1405,760,1145,11405,3520,7885,1089,0.008578856,0.021338715,8.578856153,21.33871537,10316,0.904515563,0.691363437,6796,0.861889664,967,616,2672,5213,0.661128725,52029,13093,37224,1188,325,199,0.251648119,0.715447154,0.032904726,0.463799035,0.014905761,57,5156,0.65389981,9,U,17559,51034,0.527294167,0.344064741
15,1213660,42015,Bradford,62624,1110,1745,1200,1440,95,830,245,535,5495,1705,3790,159,0.002538963,0.00652763,2.538962698,6.527629526,5336,0.971064604,0.689717925,3631,0.958047493,227,401,787,3003,0.792348285,25399,6263,17957,875,136,168,0.246584511,0.706996338,0.04641915,0.460411827,0.002176323,8,2995,0.790237467,10,R,8313,24358,0.536995153,0.341284178
17,1209173,42017,Bucks,625977,7985,11155,8900,8115,460,2505,1335,1290,36155,5590,30565,2183,0.003487349,0.009366446,3.487348577,9.366445556,33972,0.939621076,0.845387913,28382,0.928578439,1409,648,4240,26325,0.861279241,342572,165861,163873,8500,3138,1200,0.484163913,0.478360753,0.037475334,-0.00580316,0.02987996,114,26211,0.857549485,8,U,104028,233066,0.53866031,0.44634567
19,1213661,42019,Butler,184535,3065,4930,4550,3195,430,2505,900,1280,15740,5115,10625,1240,0.006719592,0.016649659,6.719592489,16.64965895,14500,0.921219822,0.675031766,9385,0.883294118,573,452,2265,8360,0.786823529,92027,26834,61388,2856,587,362,0.291588338,0.6670651,0.041346561,0.375476762,0.016972584,65,8295,0.780705882,3,U,22964,74476,0.53287037,0.308340942
