State,Total,Young,Old
AL,4661900,1878306,641667
AK,686293,305207,50277
AZ,6500180,2680368,862573
AR,2855390,1137988,407205
CA,36756666,16091480,4114496
CO,4939456,2129158,511094
CT,3501252,1390702,478007
DE,873092,350565,121688
DC,591833,288300,70648
FL,18328340,7090172,3187797
GA,9685744,4187887,981024
HI,1288198,529382,190067
ID,1523816,621672,182150
IL,12901563,5455020,1575308
IN,6376792,2603160,813839
IA,3002555,1182767,444554
KS,2802134,1139193,366706
KY,4269245,1735205,565867
LA,4410796,1826987,540314
ME,1316456,497847,199187
MD,5633597,2340626,679565
MA,6497967,2707831,871098
MI,10003422,4047073,1304322
MN,5220393,2142434,650519
MS,2938618,1202339,371598
MO,5911605,2381522,805235
MT,967440,372043,137312
NE,1783432,719367,240847
NV,2600167,1089478,296717
NH,1315809,520357,169978
NJ,8682661,3510101,1150941
NM,1984356,805851,260051
NY,19490297,8158231,2607672
NC,9222414,3831668,1139052
ND,641481,263162,94276
OH,11485910,4590870,1570837
OK,3642361,1479166,490637
OR,3790060,1534279,503998
PA,12448279,4877273,1910571
RI,1050788,434905,147646
SC,4479800,1818126,596295
SD,804194,313905,116100
TN,6214888,2524606,819626
TX,24326974,10540819,2472223
UT,2736424,1228432,246202
VT,621270,242818,86649
VA,7769089,3284355,940577
WA,6549224,2733393,783877
WV,1814468,697910,285067
WI,5627967,2278148,750146
WY,532668,213580,65614
